id,customer_id,response
1,CS1112,0
2,CS1113,0
3,CS1114,1
4,CS1115,1
5,CS1116,1
6,CS1117,0
7,CS1118,1
8,CS1119,0
9,CS1120,0
10,CS1121,0
11,CS1122,0
12,CS1123,0
13,CS1124,0
14,CS1125,0
15,CS1126,0
16,CS1127,0
17,CS1128,0
18,CS1129,0
19,CS1130,0
20,CS1131,0
21,CS1132,0
22,CS1133,0
23,CS1134,0
24,CS1135,1
25,CS1136,0
26,CS1137,0
27,CS1138,0
28,CS1139,0
29,CS1140,0
30,CS1141,1
31,CS1142,1
32,CS1143,1
33,CS1144,0
34,CS1145,1
35,CS1146,0
36,CS1147,0
37,CS1148,1
38,CS1149,0
39,CS1150,0
40,CS1151,0
41,CS1152,0
42,CS1153,0
43,CS1154,0
44,CS1155,0
45,CS1156,0
46,CS1157,0
47,CS1158,0
48,CS1159,0
49,CS1160,1
50,CS1161,0
51,CS1162,0
52,CS1163,0
53,CS1164,0
54,CS1165,0
55,CS1166,0
56,CS1167,1
57,CS1168,0
58,CS1169,0
59,CS1170,0
60,CS1171,0
61,CS1172,1
62,CS1173,1
63,CS1174,0
64,CS1175,0
65,CS1176,0
66,CS1177,0
67,CS1178,0
68,CS1179,0
69,CS1180,0
70,CS1181,0
71,CS1182,1
72,CS1183,0
73,CS1184,0
74,CS1185,0
75,CS1186,0
76,CS1187,0
77,CS1188,0
78,CS1189,0
79,CS1190,0
80,CS1191,1
81,CS1192,0
82,CS1193,0
83,CS1194,0
84,CS1195,0
85,CS1196,0
86,CS1197,0
87,CS1198,0
88,CS1199,0
89,CS1200,0
90,CS1201,0
91,CS1202,0
92,CS1203,1
93,CS1204,0
94,CS1205,0
95,CS1206,0
96,CS1207,0
97,CS1208,0
98,CS1209,0
99,CS1210,0
100,CS1211,0
101,CS1212,0
102,CS1213,0
103,CS1214,0
104,CS1215,0
105,CS1216,0
106,CS1217,0
107,CS1218,0
108,CS1219,0
109,CS1220,0
110,CS1221,0
111,CS1222,0
112,CS1223,0
113,CS1224,0
114,CS1225,0
115,CS1226,0
116,CS1227,0
117,CS1228,0
118,CS1229,0
119,CS1230,0
120,CS1231,0
121,CS1232,0
122,CS1233,1
123,CS1234,0
124,CS1235,1
125,CS1236,0
126,CS1237,0
127,CS1238,0
128,CS1239,0
129,CS1240,0
130,CS1241,0
131,CS1242,0
132,CS1243,0
133,CS1244,0
134,CS1245,0
135,CS1246,0
136,CS1247,1
137,CS1248,0
138,CS1249,0
139,CS1250,0
140,CS1251,0
141,CS1252,0
142,CS1253,1
143,CS1254,0
144,CS1255,0
145,CS1256,0
146,CS1257,0
147,CS1258,0
148,CS1259,1
149,CS1260,0
150,CS1261,0
151,CS1262,0
152,CS1263,0
153,CS1264,0
154,CS1265,0
155,CS1266,0
156,CS1267,0
157,CS1268,0
158,CS1269,0
159,CS1270,0
160,CS1271,0
161,CS1272,0
162,CS1273,0
163,CS1274,0
164,CS1275,0
165,CS1276,0
166,CS1277,0
167,CS1278,0
168,CS1279,0
169,CS1280,0
170,CS1281,0
171,CS1282,0
172,CS1283,0
173,CS1284,0
174,CS1285,0
175,CS1286,1
176,CS1287,0
177,CS1288,0
178,CS1289,0
179,CS1290,0
180,CS1291,0
181,CS1292,0
182,CS1293,1
183,CS1294,0
184,CS1295,0
185,CS1296,0
186,CS1297,0
187,CS1298,0
188,CS1299,1
189,CS1300,0
190,CS1301,0
191,CS1302,0
192,CS1303,1
193,CS1304,0
194,CS1305,0
195,CS1306,0
196,CS1307,0
197,CS1308,0
198,CS1309,0
199,CS1310,1
200,CS1311,0
201,CS1312,1
202,CS1313,0
203,CS1314,0
204,CS1315,0
205,CS1316,0
206,CS1317,0
207,CS1318,0
208,CS1319,0
209,CS1320,0
210,CS1321,0
211,CS1322,0
212,CS1323,0
213,CS1324,1
214,CS1325,0
215,CS1326,0
216,CS1327,0
217,CS1328,0
218,CS1329,0
219,CS1330,0
220,CS1331,0
221,CS1332,0
222,CS1333,0
223,CS1334,0
224,CS1335,0
225,CS1336,0
226,CS1337,0
227,CS1338,0
228,CS1339,0
229,CS1340,0
230,CS1341,0
231,CS1342,0
232,CS1343,0
233,CS1344,1
234,CS1345,0
235,CS1346,0
236,CS1347,0
237,CS1348,0
238,CS1349,0
239,CS1350,1
240,CS1351,0
241,CS1352,0
242,CS1353,0
243,CS1354,0
244,CS1355,1
245,CS1356,0
246,CS1357,0
247,CS1358,0
248,CS1359,0
249,CS1360,0
250,CS1361,0
251,CS1362,0
252,CS1363,0
253,CS1364,0
254,CS1365,0
255,CS1366,0
256,CS1367,0
257,CS1368,0
258,CS1369,0
259,CS1370,1
260,CS1371,0
261,CS1372,1
262,CS1373,0
263,CS1374,0
264,CS1375,0
265,CS1376,0
266,CS1377,0
267,CS1378,0
